Genes,TCGA.2L.AAQE.01A,TCGA.XD.AAUL.01A,TCGA.2L.AAQJ.01A,TCGA.2L.AAQI.01A,TCGA.3A.A9IB.01A,TCGA.3A.A9IU.01A,TCGA.FB.AAPS.01A,TCGA.HV.AA8X.01A,TCGA.LB.A9Q5.01A,TCGA.HZ.A9TJ.01A,TCGA.3A.A9IH.01A,TCGA.RB.AA9M.01A,TCGA.IB.AAUQ.01A,TCGA.3A.A9J0.01A,TCGA.FB.AAQ3.01A,TCGA.FB.AAQ1.01A,TCGA.2J.AAB9.01A,TCGA.2J.AABA.01A,TCGA.2J.AABR.01A,TCGA.FB.AAQ6.01A,TCGA.2J.AABE.01A,TCGA.2J.AABT.01A,TCGA.FB.AAPQ.01A,TCGA.HV.AA8V.01A,TCGA.2J.AABV.01A,TCGA.2J.AABF.01A,TCGA.2J.AABU.01A,TCGA.FB.AAPU.01A,TCGA.2J.AABH.01A,TCGA.FB.AAPY.01A,TCGA.2J.AAB1.01A,TCGA.XD.AAUG.01A,TCGA.2J.AAB4.01A,TCGA.2J.AABI.01A,TCGA.FB.AAPZ.01A,TCGA.XD.AAUH.01A,TCGA.3A.A9IX.01A,TCGA.2J.AABK.01A,TCGA.2J.AAB6.01A,TCGA.FB.AAQ0.01A,TCGA.XD.AAUI.01A,TCGA.2J.AAB8.01A,TCGA.3A.A9IZ.01A,TCGA.2J.AABO.01A,TCGA.Z5.AAPL.01A,TCGA.FB.AAQ2.01A,TCGA.F2.6879.01A,TCGA.HZ.7925.01A,TCGA.IB.7651.01A,TCGA.HZ.7926.01A,TCGA.IB.7885.01A,TCGA.IB.7652.01A,TCGA.IB.7644.01A,TCGA.IB.7887.01A,TCGA.IB.7889.01A,TCGA.IB.7646.01A,TCGA.IB.7886.01A,TCGA.IB.7893.01A,TCGA.HZ.7919.01A,TCGA.HZ.8001.01A,TCGA.IB.7647.01A,TCGA.IB.7897.01A,TCGA.IB.7888.01A,TCGA.HZ.8002.01A,TCGA.HZ.7922.01A,TCGA.HZ.8003.01A,TCGA.IB.7649.01A,TCGA.IB.7645.01A,TCGA.IB.7890.01A,TCGA.IB.7891.01A,TCGA.H6.8124.01A,TCGA.HZ.8315.01A,TCGA.HZ.8317.01A,TCGA.HZ.8519.01A,TCGA.HZ.8636.01A,TCGA.HZ.8637.01A,TCGA.IB.8127.01A,TCGA.IB.8126.01A,TCGA.F2.A44H.01A,TCGA.FB.A4P6.01A,TCGA.FB.A4P5.01A,TCGA.H6.A45N.01A,TCGA.HV.A5A3.01A,TCGA.HV.A5A5.01A,TCGA.HV.A5A4.01A,TCGA.HZ.A49H.01A,TCGA.HV.A5A6.01A,TCGA.HZ.A49G.01A,TCGA.HZ.A4BH.01A,TCGA.HZ.A49I.01A,TCGA.HZ.A4BK.01A,TCGA.M8.A5N4.01A,TCGA.F2.A44G.01A,TCGA.HZ.8005.01A,TCGA.PZ.A5RE.01A,TCGA.FB.A78T.01A,TCGA.FB.A5VM.01A,TCGA.US.A774.01A,TCGA.OE.A75W.01A,TCGA.US.A779.01A,TCGA.IB.A5SP.01A,TCGA.IB.A5SQ.01A,TCGA.US.A77G.01A,TCGA.US.A77E.01A,TCGA.Q3.A5QY.01A,TCGA.IB.A5ST.01A,TCGA.IB.A5SO.01A,TCGA.IB.A5SS.01A,TCGA.IB.A6UF.01A,TCGA.HV.A7OL.01A,TCGA.IB.A6UG.01A,TCGA.HZ.A77P.01A,TCGA.HZ.A77O.01A,TCGA.LB.A7SX.01A,TCGA.RB.A7B8.01A,TCGA.US.A776.01A,TCGA.HZ.A8P0.01A,TCGA.IB.A7LX.01A,TCGA.HZ.A77Q.01A,TCGA.IB.A7M4.01A,TCGA.XN.A8T5.01A,TCGA.LB.A8F3.01A,TCGA.YB.A89D.01A,TCGA.YY.A8LH.01A,TCGA.S4.A8RP.01A,TCGA.XN.A8T3.01A,TCGA.F2.A8YN.01A,TCGA.S4.A8RO.01A,TCGA.HZ.A8P1.01A,TCGA.IB.AAUM.01A,TCGA.IB.AAUP.01A,TCGA.IB.AAUT.01A,TCGA.YH.A8SY.01A,TCGA.IB.AAUU.01A,TCGA.IB.AAUS.01A,TCGA.Q3.AA2A.01A,TCGA.S4.A8RM.01A,TCGA.2L.AAQA.01A,TCGA.2L.AAQL.01A,TCGA.3A.A9I5.01A,TCGA.3A.A9I9.01A,TCGA.3A.A9I7.01A,TCGA.3E.AAAY.01A,TCGA.3E.AAAZ.01A,TCGA.F2.A7TX.01A,TCGA.IB.AAUN.01A,TCGA.IB.AAUO.01A,TCGA.3A.A9IC.01A,TCGA.IB.AAUR.01A,TCGA.FB.A545.01A
AGR2,9170.5283,16406.6528,12850.9901,23211.5788,5195.6062,6284.2707,856.5517,19443.7,5941.9959,25466.5109,15115.6713,5334.7639,7839.2857,9816.2134,8506.4363,2885.336,5185.4234,13324.5655,9824.3661,14120.1878,5463.2342,4233.4168,23679.865,8194.4714,8966.9291,15903.9603,5398.4716,50688.8738,14456.8815,16239.4366,15774.1463,4962.8378,8263.0471,1091.074,12774.8009,3019.7814,3224.5023,14975.9243,1908.1871,23637.6232,5880.1387,16085.5464,28277.3234,13952.7244,2888.3191,3005.1187,22622.7915,5354.8792,2171.8708,14536.5159,6431.1488,21795.1232,18018.7117,27963.9135,17756.9015,12122.8426,19685.4643,1252.2489,12246.2964,8320.2454,11519.3413,1266.3535,18611.4474,2201.7825,10487.3662,1598.8464,8908.1007,13977.5468,2285.4917,5855.6878,17302.5097,7459.6744,24096.3426,878.4343,11819.2782,2058.5975,4999.8057,2324.0176,6060.4027,5212.5341,4926.8204,5261.8862,9682.6565,5746.3894,9826.9747,15269.0496,14067.4518,5158.6433,6388.2889,16524.8246,11580.5207,4282.5962,9469.0949,1564.0362,26704.5431,16261.34,3551.904,7514.5263,14326.713,19879.7942,37424.8047,2404.182,18417.6175,7720.9607,1880.581,4106.1599,15053.4676,5060.8217,4540.3515,16639.5564,3075.2755,8385.3528,12491.2467,5029.804,9677.4194,91707.0064,27361.674,3880.7711,3087.5441,15744.3571,5624.553,28117.7665,10508.7359,28754.0514,10877.1837,1625,12108.009,12733.2967,41449.7006,7824.3728,6947.9552,4992.823,10502.3364,16314.87,2047.5257,14719.5386,37613.7214,13604.6652,8294.4823,6739.4958,4252.1246,8881.2342,6698.6836,22024.6821,2934.9164,6677.3468,4082.0844,9411.358,2637.9621,3791.8244
AGR3,285.4495,1090.6445,1145.0495,1376.9045,84.6518,338.3128,186.8966,2449.1031,175.3825,4674.2729,1389.2169,691.8455,792.7296,1007.1297,3116.3233,116.9123,202.5723,887.4276,701.9171,674.1784,669.647,493.7422,2069.4978,642.58,820.4724,439.0892,378.821,2065.0258,586.6725,1367.2806,1595.122,398.6486,883.8384,29.0276,948.588,279.5419,568.4533,1581.2554,2.3392,1742.4924,519.5641,1237.1328,1398.513,977.5641,207.9772,128.8972,909.894,1000,203.6383,191.254,314.5087,1214.6833,827.6074,1256.7224,1316.028,2274.1117,969.6568,282.6087,845.2824,357.8732,201.2546,53.1261,504.1277,367.5579,172.591,152.0713,609.9387,514.3451,188.0662,322.9334,689.9584,863.688,436.3451,88.318,401.2934,205.2514,795.1823,253.1924,183.4452,570.8447,497.5486,356.9758,583.2175,371.4616,1319.7206,476.0321,850.1071,457.8775,571.6343,1125.0172,371.7454,317.0592,1032.5607,8.6244,4093.7071,1574.6983,29.734,620.6316,1916.0874,1295.7636,2333.6565,79.8943,1283.4322,2131.8777,140.4054,182.1756,1560.248,578.423,115.1591,2138.016,152.9854,566.7178,223.6412,179.9838,1299.2832,3139.1475,830.4715,266.3409,473.5605,835.4045,178.1883,1448.731,543.6793,1638.1876,913.1816,84.9156,422.3125,696.4231,2285.0299,331.1828,226.1572,303.8278,494.743,1600.7669,178.3439,997.1161,2916.8399,1025.9401,1150.0889,24.0096,595.4674,999.5773,681.1312,1649.5886,471.416,161.8887,265.6134,1491.358,112.7142,57.5322
ANXA10,1225.6719,2631.185,5658.9109,3042.4052,2396.8558,770.2109,508.9655,2193.2137,957.2962,7491.0936,1594.4245,57.9399,40.1786,421.4418,6679.4448,96.4277,519.8285,242.3673,1378.4787,2727.6995,3204.563,1124.5307,10386.9763,928.71,1804.7244,3285.1954,1331.8777,11883.2847,3580.5749,5934.9946,4663.4146,987.1622,3265.1515,0.7257,2356.2636,442.4779,646.8606,4326.3113,187.7193,11592.9329,2089.153,854.5241,3522.6766,592.1474,1188.604,136.8078,9601.5901,150.2981,688.0261,1146.0085,2087.1025,1054.5985,8399.6933,3276.5175,3444.9938,258.3756,1876.026,1736.1319,6911.9861,289.5706,23.0005,597.0365,4315.355,146.5241,1983.2976,752.4908,5001.3615,1505.6133,1310.3144,2132.3041,4493.586,851.1927,1285.5868,24.2545,2738.7923,40.0256,2993.7188,677.2381,953.0201,312.6703,632.6494,2567.4201,2890.3917,1991.9122,2609.3498,4324.7437,65.3105,684.3545,600.9119,3005.3638,3436.837,3688.6847,5743.9294,2.1561,3030.3905,13098.6267,3.1299,1242.9474,2977.6564,6463.2002,5961.3071,174.9833,16947.0561,1793.8865,119.1318,205.3298,2282.8361,645.602,1167.9732,5646.3339,114.8733,820.1687,4328.3429,7.422,3691.7563,1561.9794,2133.0284,187.3571,254.9941,3039.8174,1.7878,129.9492,4889.517,1832.2125,2587.6125,33.7553,3403.7359,13042.9301,7849.7006,1857.3477,279.8366,50.8373,1758.1776,6687.6864,395.3944,7862.2927,8289.3971,5611.0999,1882.3164,1.8007,640.7932,2213.0178,2899.0736,913.9865,79.5954,1349.0725,733.3881,445.4321,708.2958,1169.5685
BTNL8,49.5829,25.3638,457.4257,317.7472,2.0155,3.5149,2.7586,219.1485,20.0959,68.1581,17.8105,178.5408,79.0816,86.6121,521.8903,0.9993,13.9335,356.3488,39.5795,390.6103,39.4635,162.7034,351.7967,12.1242,58.2677,146.3631,25.1092,2943.9759,181.1847,297.9415,238.0488,29.7297,673.4007,12.3367,25.344,2.0822,58.8055,313.4136,1.7544,358.2086,49.0342,157.9318,13.3829,132.2115,55.8405,2.3267,1493.8163,252.9024,262.8292,383.1142,163.7996,201.4312,788.3436,33.6341,105.892,7.1066,725.1707,0,941.9314,11.0429,761.6309,13.0105,132.0859,47.4153,101.9272,127.4253,53.0973,208.7318,25.1097,62.1851,7.4145,45.4373,87.6768,312.1447,465.6122,89.3372,182.607,36.3664,8.9485,109.673,189.5769,349.961,105.1193,491.6233,761.4186,37.1294,18.7366,106.674,178.0658,60.5144,377.0492,93.6244,206.4018,0,972.1987,198.918,0.5216,93.4737,521.3505,54.41,1523.4508,10.7833,1387.4943,125.7642,35.6332,60.2883,34.4828,1.8977,11.5641,490.4498,4.8311,151.0736,9.4106,22.266,61.5293,1650.6614,7.9789,3.6737,173.913,495.0545,15.4946,82.7411,326.8243,889.8688,290.1006,6.3291,65.4069,0,2322.1557,54.4803,292.1564,56.8182,126.1682,1155.9438,27.9275,76.4239,812.8898,372.0088,503.8916,67.2269,237.3938,1518.5968,301.3164,21.3164,2.6385,74.7611,17.2157,165.4321,48.6925,6.813
CDH17,155.2363,481.9127,780.6931,3136.1746,309.1807,138.4007,31.0345,557.5967,63.0281,103.0963,199.787,2400.4292,209.8214,683.9187,1662.5397,235.8231,293.6763,4702.6773,575.7576,2623.4742,167.1034,2576.3454,876.7994,69.3501,137.0079,2272.7031,598.2533,6512.3404,630.662,1045.5038,3589.2683,337.8378,478.9562,3.2656,667.6322,204.0604,661.562,2185.2966,21.0526,3000.6631,773.155,869.5652,28.9963,137.8205,309.9715,572.8246,7912.8386,5515.8456,3748.303,997.4911,124.1923,318.3143,732.2086,182.8852,1007.0045,8.6294,9334.1709,77.2114,4551.6121,119.0184,3197.8568,183.9537,18.7122,331.1943,1438.9722,805.978,1109.5984,1721.8295,105.0506,109.3599,18.9481,2368.7997,1170.8933,1382.5058,161.4961,2332.0525,5765.2011,244.2723,200.2237,951.6349,466.3156,4668.7451,112.9059,1290.0058,1207.4154,128.5675,202.3555,754.9234,1077.0338,151.2859,905.4966,100.5169,980.6843,40.1035,3785.3082,299.6255,95.9833,394.1053,868.4211,186.4046,3611.4058,99.0101,198.0831,2543.2314,420.1524,1425.0765,106.5478,7.5909,176.3524,1422.6741,46.7008,2800.2301,126.7669,3214.6585,261.0514,5775.1102,2517.3458,682.8431,74.6181,509.2569,747.9142,123.3503,2698.8695,5523.0956,3003.7057,88.0802,464.0288,121.5336,8085.0299,310.3943,2687.0472,956.3397,16.9393,2845.3345,597.7462,139.1492,2316.0083,135.1297,2792.4261,20.4082,111.0482,7608.6221,333.0083,229.9925,273.9666,283.8673,79.684,33.5802,302.0739,8.327
CEACAM6,60175.6256,26116.0083,93752.4752,66886.7576,8247.1027,42241.2127,7403.4483,76754.2684,40973.7383,29030.78,24302.3909,64080.2575,27112.2449,45580.6707,38558.3062,1888.5836,21551.9829,56363.2378,25459.4929,29838.4977,29600.1233,10486.2328,40742.9012,25203.2008,2458.2677,30820.9444,9665.9389,69563.2095,38893.7282,33003.792,88335.6098,2891.2162,42850.1684,56.6038,41192.614,21992.1916,13508.1164,29953.5684,3925.731,60322.3285,9545.3195,55773.443,29722.6766,25591.3462,19178.3476,3011.6333,61788.8693,55491.685,10475.4276,23277.8237,11870.7728,41829.3135,57585.2761,26864.15,38755.6654,33606.0914,59847.1114,6624.8126,75520.8746,34415.1329,67267.1354,1554.7524,26821.6841,18222.8164,76522.0557,34664.3943,30190.6059,55882.3285,41688.7017,38553.8758,19428.4055,80393.0329,29713.776,16744.0328,42878.2662,1144.4124,42632.6491,2584.0715,6749.4407,23394.4142,14295.2606,43195.6352,59349.584,36118.4287,47838.259,3059.5733,68691.6488,42909.7374,38816.4147,7651.7673,52664.8987,58940.2642,51978.4768,206.1233,64522.1672,44384.9355,6697.9656,33660.2105,44478.6495,44702.3321,113957.7739,15908.7734,26460.5203,40683.8428,7350.5401,33363.9144,74673.7699,18866.6856,6615.6241,66873.6907,8087.2929,15256.135,8585.8292,37218.6014,23539.4265,9144.537,4424.97,26238.715,21137.4853,42111.0829,18594.7557,2304.5685,50475.334,36187.8514,30060.8788,2327.5316,80291.3956,28304.7317,73257.485,11113.2616,5954.0074,13424.6411,22248.8318,67373.6685,16245.9579,32257.3901,66677.3389,60365.9763,62060.1468,4767.1068,17049.8584,8191.885,27326.6699,24849.6634,23397.5374,31349.6346,12206.4111,13065.1852,11757.89,21686.6011
CLRN3,12.975,108.1081,245.0495,259.445,22.1707,19.3322,42.069,689.4316,21.9228,109.3967,137.0632,335.6223,149.2347,183.2585,545.1689,51.4614,22.508,520.4321,154.6073,665.7277,48.0962,129.5369,509.7462,43.6469,132.2835,357.2251,46.9432,822.2557,83.6237,328.8191,531.2195,58.1081,319.0236,3.6284,220.1303,29.1515,90.2501,444.54,3.5088,379.5235,158.4943,329.0247,257.2491,294.0705,107.1225,19.0786,412.8386,521.4936,305.186,423.1229,100.3608,106.0164,182.5153,129.9816,182.9419,5.0761,635.5132,7.8711,554.1472,45.3988,436.4872,27.1052,183.2691,177.5401,300.2141,95.4379,211.0279,343.0353,31.7714,28.7338,14.829,204.468,152.9247,234.8994,307.6116,69.1643,467.2667,90.5729,26.8456,336.5123,182.3134,290.7249,142.4951,387.6372,427.1897,69.2713,220.5567,71.116,128.1497,202.4481,660.0771,61.4589,86.6446,41.8284,630.4037,135.6638,5.2165,232.4211,518.8679,301.2701,236.0562,48.0346,94.9338,328.3843,70.2027,152.9052,97.2491,7.2113,51.5566,315.4652,11.2726,430.2147,12.1785,468.9783,368.5783,2440.4704,59.8418,67.9629,123.9718,183.1093,147.199,733.5025,168.5509,638.5184,484.9127,27.4262,34.506,89.7634,959.8802,202.1505,290.3965,266.7464,62.5,457.1794,60.7545,416.0058,453.6383,65.554,856.4216,303.1212,222.0963,737.5317,201.3652,35.5273,105.5409,315.9078,342.838,365.4321,58.6114,3.785
CTSE,10433.2715,21588.3576,53870.297,45911.5555,10718.9358,7150.703,3900.6897,56885.2388,20463.1194,35770.4159,27727.0351,3128.7554,5544.0051,14414.0481,25710.7939,1640.2698,7216.5059,4273.0546,5564.0074,16754.9296,27862.4942,7136.4205,25494.4897,16006.3046,8755.9055,23206.5208,7196.5066,68669.6165,48193.8153,22147.3456,42603.9024,6408.1081,35667.9293,60.5951,6059.3773,11530.4529,3425.0128,16917.8848,2180.117,43911.6379,9445.7652,22135.8402,11788.8476,21389.4231,5728.2051,10299.6743,53012.073,13787.5745,12839.8045,4713.1531,29970.9658,26024.9139,60550.3067,25478.8473,25089.8228,14087.8173,13696.4963,18608.6957,28715.8362,3305.5215,12129.6393,8179.2555,28642.2675,2367.2014,15411.9914,6323.0205,21169.5031,51340.5405,17718.7103,15780.8513,11153.8473,8698.599,8909.9019,3912.8816,33915.5816,13184.1178,12634.8507,4169.0968,4231.5436,5014.3052,8576.7205,15620.4209,11828.6477,7054.8816,40918.3235,13537.8221,3355.4604,10780.6346,22848.5721,33570.623,14773.3848,32262.4928,27777.0419,5973.2643,12587.0464,44385.3516,61.5545,19386.1053,16709.5333,41447.3054,26589.0643,3473.6876,57828.8453,29591.2664,5329.5537,12290.083,22873.3049,6087.4846,4606.3631,22085.6439,1605.5418,4300.2301,34337.7812,5009.8574,37376.3441,3562.9593,27938.8151,1594.8311,4650.4113,11436.9769,5334.3266,5553.2995,16865.8787,32893.8375,20662.2552,2604.4304,22761.0999,26342.5433,71077.8443,15127.5986,14313.4654,2655.5024,28306.6589,40342.565,6322.391,25798.1255,52842.8274,51828.6748,24259.889,806.1224,9859.4901,11499.1547,16916.626,41699.7008,2134.5646,16338.9545,13052.439,35171.8519,8260.5951,9395.9122
CYP3A7,2.7804,30.7692,65.3465,4.8585,5.6435,10.1054,0.6897,26.367,4.5673,17.1827,8.5181,12.0172,2.551,6.8656,38.297,9.9925,4.2872,24.6626,14.2239,15.9624,14.7988,16.8961,18.8463,4.8497,7.874,12.7722,2.1834,26.2821,20.4704,14.0845,68.2927,4.7297,3.367,9.434,4.3447,3.1234,6.5339,12.4678,1.1696,10.6574,9.9059,0,1.487,11.2179,3.9886,3.2573,37.9859,6.2755,15.4765,141.243,14.4332,29.6846,53.3742,5.2553,30.4903,2.5381,15.8219,1.8741,26.1428,1.227,7.5797,2.1684,9.3561,3.2086,12.4197,7.3414,21.1028,21.2058,6.6617,5.1463,9.886,10.602,9.6852,1.3182,18.8762,15.69,5.4394,13.7232,21.2528,13.624,5.8108,5.456,9.3439,13.8648,17.7324,9.4209,1.606,5.4705,29.2777,16.5039,16.8756,6.8926,11.0375,0.8624,15.255,7.0745,0,30.7368,20.854,28.2126,4.5688,3.9212,27.8412,37.5546,3.191,7.4268,8.1364,7.5909,2.9826,4.9291,1.6104,6.5414,5.5357,11.133,14.9343,46.5458,1.9947,3.2145,6.463,19.7819,7.1514,17.7665,17.9856,17.1977,25.4103,2.1097,8.7553,1.0086,10.7784,6.4516,3.08,9.5694,7.021,31.9557,2.4645,7.9308,60.7069,3.2174,11.6432,10.2041,5.0992,16.4835,11.7016,15.3328,4.3975,15.1771,6.9158,5.9259,8.1154,0.757
FAM3D,665.431,1995.0104,2387.1287,1975.4742,13.7055,855.8875,44.8276,1624.3786,121.4889,801.8603,535.0886,215.4506,632.0153,136.7837,1064.8064,180.8644,82.5295,3375.6067,193.5683,1142.723,892.246,841.6771,1096.6723,1818.1377,792.126,550.3677,231.441,2728.4623,301.8293,1005.9588,849.2683,1000,350.5892,13.7881,95.5829,309.214,220.5207,743.3362,207.6023,482.5455,319.9604,228.4371,127.1375,222.7564,436.4672,34.9,519.1402,923.1252,298.398,1056.2919,230.5949,134.1108,405.2147,822.2826,826.5348,1022.8426,869.0747,88.4558,816.7631,1209.816,1018.5572,51.6805,759.4937,100.8913,992.7195,538.0178,909.4622,495.2183,57.3935,67.3314,154.4683,158.652,2627.7558,525.9533,335.5763,396.7339,66.3084,90.5729,14.5414,1193.4605,163.4284,615.7443,675.0996,1024.8411,2541.6443,2556.941,2141.863,266.4114,2447.3242,80.8692,1233.3655,547.9609,312.362,1.2937,4145.2443,302.1223,119.9791,852.6316,1314.7964,1578.3932,4238.3508,29.8991,460.0639,891.2664,33.5058,303.1892,183.6497,203.4349,107.4497,2674.6765,69.246,3350.4601,359.2652,960.2227,3782.5568,24781.9696,916.2447,450.4835,3237.9553,3992.3916,159.7139,31.9797,2882.3227,3325.3225,1404.4468,19.5148,12534.4416,26.223,2277.2455,1119.7133,338.7959,770.3349,51.986,314.444,152.8662,3861.5717,4419.5426,129.9015,1243.2344,65.4262,1096.8839,946.3229,748.903,532.5355,19.3492,157.9539,170.1893,50.3704,723.6249,404.2392
